qid,question_type,question,closed_answer,rag_answer,closed_label,rag_label,annotation_notes,ctx1_chunk_id,ctx1_title,ctx1_domain,ctx1_source_url,ctx1_snippet,ctx2_chunk_id,ctx2_title,ctx2_domain,ctx2_source_url,ctx2_snippet,ctx3_chunk_id,ctx3_title,ctx3_domain,ctx3_source_url,ctx3_snippet
48,entity_location,What is the 'Andrew File System' (AFS) developed at CMU?,"A distributed file system designed for transparency, enabling files to be stored on multiple servers and accessed as if they were local.",A distributed file system that allows users to access files from multiple computers as if they were on a local disk.,,,,pittsburghopera.org:811155a0186b9ef22399bd913bb379f2de86540a:c3,Co-opera 2017 | Pittsburgh Opera,pittsburghopera.org,https://pittsburghopera.org/current-media-releases/co-opera-2017/,"is uncertain. Begun in 2015, Co-Opera's purpose is to create new, short operatic works while training the next wave of opera professionals. Composers, librettists, singers, directors, designers and orchestra (from  ) ar…",baseline:70fd6669f01933161d44d9ca051debc491aa4797:c7,Carnegie Mellon School of Computer Science - Wikipedia,en.wikipedia.org,,"Turning award in 1994. He received the French in 1984 and award in 2001. He was also awarded the Honda Prize in 2005, and the in 2006. [ 23 ]  [ 24 ] and the Dean of School of Computer Science. He was one of the founder…",baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c19,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,"also offer graduate master's degrees in Emerging Media, Game Design, Integrative Innovation for Products and Services, Computational Data Science, Urban Design, and Production Technology and Management. IDeATe also mana…"
68,description,What type of cuisine does Sienna Mercato specialize in?,Italian,Sienna Mercato specializes in Italian cuisine.,,,,trustarts.org:9da488eb4a4bac3a216bd4239d04787b8992d3f4:c3,Cozy Up in the Cultural District  | The Pittsburgh Cultural Trust | @CulturalTrust,trustarts.org,https://trustarts.org/blog/cozy-up-in-the-cultural-district,"of . Open for daily for dinner and weekend brunch, Meat & Potatoes has become a quintessential place to warm your belly and toast the long winter. Reservations are recommended.  The rooftop Il Tetto is the big draw at S…",pittsburghrestaurantweek.com:53fe44f084a04ac1c3e92ef8df6ebfddeeb47552:c1,Mezzo at Sienna Mercato – Pittsburgh Restaurant Week,pittsburghrestaurantweek.com,https://pittsburghrestaurantweek.com/restaurants/winter-2026-restaurants/mezzo-at-sienna-mercato/,"tomatoes and fresh spinach SALADS · House salad – mixed greens, tomatoes, pepperoncini, cucumber, red onion with balsamic dressing · Caesar salad – chopped romaine, focaccia croutons, Caesar dressing, pecorino  · Panna…",www.visitpittsburgh.com:699acb1509e03c40ac84346fbfa9e7a34bf02518:c0,"Pittsburgh Restaurants | Listings, Nightlife & Farmers Markets | Visit Pittsburgh",www.visitpittsburgh.com,https://www.visitpittsburgh.com/restaurants-culinary/,"Pittsburgh's fantastic food scene is continually getting recognized in national and international media . In our City of Multitudes, you'll find globe-spanning cuisine with inspired menus, unique locations and awarded c…"
13,entity_location,What is the name of Carnegie Mellon's student newspaper?,The Tartan,The Tartan,,,,www.cmu.edu:fe90b80125609e2276a06481416805091f405741:c1,Traditions | Carnegie Mellon University,www.cmu.edu,https://www.cmu.edu/about/traditions,"the world. Help our current Fence retake that title. The oldest CMU tradition, this three-day event features student-built booths, racing robots, live entertainment and an array of delectable food options.  Explore our…",baseline:016461af2a3c9b47e7f842d873350c42c180de5a:c16,Carnegie Mellon Tartans football - Wikipedia,en.wikipedia.org,,"a similar mannerism as a scottie dog. [ ] The Carnegie Mellon Tartans have an original fight song titled ""Fight for the Glory of Carnegie."" The lyrics are as follows:  For they're fighting for the glory of Carnegie.  […",baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c46,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,"[ 159 ] in a conference championship playoff game. [ 160 ] Varsity teams are fielded in basketball, track, cross country, football, golf, soccer, swimming and diving, volleyball, tennis, and  , [ 161 ] rowing , [ 162 ]…"
115,entity_location,Which two rivers converge to form the Ohio River in Pittsburgh?,The Allegheny River and the Monongahela River.,The Allegheny and Monongahela Rivers converge to form the Ohio River in Pittsburgh.,,,,www.visitpittsburgh.com:59acc2b512792173b4e7292f73d9fe9984b2fe39:c0,Pittsburgh Fishing & Boating | Rentals & Locations | Visit Pittsburgh,www.visitpittsburgh.com,https://www.visitpittsburgh.com/things-to-do/outdoor-adventure/fishing-boating/,"Pittsburgh sits at a unique confluence of rivers unlike any other in the world, diverse and more abundant than any other state except Alaska. Pittsburgh sits at a unique confluence of rivers unlike any other in the worl…",en.wikipedia.org:183acfa82fed94771f71f4ac75ab246d4dff266f:c1,Pittsburgh and Lake Erie Railroad - Wikipedia,en.wikipedia.org,https://en.wikipedia.org/wiki/Pittsburgh_and_Lake_Erie_Railroad,"the greater Pittsburgh area, which consumed and shipped vast amounts of materials. It was a specialized railroad, deriving much of its revenue from coal , coke , iron ore ,  , and steel . The eventual closure of the ste…",baseline:07289550044a76d030bdab3efef49e9ae499246f:c10,Shannopin's Town - Wikipedia,en.wikipedia.org,,"for I understood it was dangerous to let a Compass be seen Poles wide at Shannopin Town: There are about twenty Families in this Town: The Land in general from  to this Place is mean stony and broken, here and there goo…"
116,description,"What was the Whiskey Rebellion, and how did it relate to Pittsburgh?","The Whiskey Rebellion was an uprising against federal tax laws in the 1790s, primarily affecting western farmers around Pittsburgh, who protested the tax on whiskey.","The Whiskey Rebellion was an uprising against the federal excise tax on whiskey, primarily involving farmers in western Pennsylvania near Pittsburgh, who resisted the tax through protests and attacks on tax collectors.",,,,baseline:975f4b08d61017eb8d2d49cdbdcf8c4db3c3bd2a:c25,Whiskey Rebellion - Wikipedia,en.wikipedia.org,,"authority. He did not want to alienate public opinion, so he asked his cabinet for written opinions about how to deal with the crisis. The cabinet recommended the use of  who urged reconciliation. [ 84 ] Washington did…",baseline:975f4b08d61017eb8d2d49cdbdcf8c4db3c3bd2a:c21,Whiskey Rebellion - Wikipedia,en.wikipedia.org,,"received in the fight. [ 70 ] The rebels sent the U.S. soldiers away. Kirkpatrick, Lenox, and Presley Neville were kept as prisoners, but they later escaped. [ 71 ]  , a western opponent of the whiskey tax who tried to…",www.visitpittsburgh.com:77145bd4700d33965df43564fb9f84fa71ac6443:c0,"The History of Pittsburgh, Pennsylvania | Visit Pittsburgh | Visit Pittsburgh",www.visitpittsburgh.com,https://www.visitpittsburgh.com/things-to-do/arts-culture/history/,"Pittsburgh was called the ""Gateway to the West"" from its earliest days as a frontier village.  Easily navigable waterways with an abundance of natural resources, (coal, timber, natural gas, iron and limestone) helped Pi…"
55,description,What role did CMU play in the development of self-driving taxis?,CMU played a significant role in the development of self-driving taxis through research and innovation in autonomous vehicle technology.,"Carnegie Mellon University (CMU) played a significant role in the development of self-driving taxis through its research and collaboration with Uber, including the poaching of 40 scientists from CMU's National Robotics Engineering Consortium (NREC) to work on driverless technologies.",,,,www.thefrickpittsburgh.org:ac886fa246a32ff187be071e2a1c785346f7bf26:c10,Making the Car and Carriage Museum | The Frick Pittsburgh,www.thefrickpittsburgh.org,https://www.thefrickpittsburgh.org/Story-Making-the-Car-and-Carriage-Museum-a-look-at-our-past-and-whats-driving-our-future,"understanding of transportation history and its relevance today. In April 2021, we will examine the art of hood ornaments and their use in personalization and reflective individualism in the exhibition  . The following…",baseline:42e1d158283307fb9ffd522052b67c4bbb91354c:c2,Robotics Institute - Wikipedia,en.wikipedia.org,,"Apple . In September 2015, the NREC secured a $5.5 million gift from the car transport company, Uber , to support three robotics fellowships and research directed at developing safe,  . [ 5 ] This donation was made roug…",baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c35,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,"many applications, ranging from bicycle tires and racing sails to bulletproof vests, all due to its high tensile strength-to-weight ratio; by this measure, it is five times stronger than steel.  –  and  for his pioneeri…"
22,entity_location,Which Carnegie Mellon alumnus co-founded Sun Microsystems?,Andy Bechtolsheim,Andrew Bechtolsheim,,,,baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c38,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,derivatives exist within a number of commercial operating systems. and macOS and iOS are based. [ 140 ] Wi-Fi network – Alex Hills created the first wi-fi network using a  (LAN) on the Carnegie Mellon campus in 1993. […,baseline:70fd6669f01933161d44d9ca051debc491aa4797:c7,Carnegie Mellon School of Computer Science - Wikipedia,en.wikipedia.org,,"Turning award in 1994. He received the French in 1984 and award in 2001. He was also awarded the Honda Prize in 2005, and the in 2006. [ 23 ]  [ 24 ] and the Dean of School of Computer Science. He was one of the founder…",www.cmu.edu:80043fb9b647f726c99e3b668964cbf4b7160c18:c15,Rankings & Awards | Carnegie Mellon University,www.cmu.edu,https://www.cmu.edu/about/rankings-and-awards,"Institute of Technology John R. Anderson, Dietrich College/School of Computer Science Faculty 2011 Benjamin Franklin Medal in Computer and Cognitive Science 2010 Benjamin Franklin Medal in Computer and Cognitive Science…"
27,entity_location,What is the name of the interdisciplinary program combining technology and the arts at Carnegie Mellon?,STUDIO FOR ELECTRONIC IMAGING & SOUND (SEIS) or School of Art and School of Computer Science's joint programs like Computational Design,IDeATe,,,,baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c18,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,"[ 56 ] The (formerly the Graduate School of Industrial Administration) offers undergraduate programs in and (the latter jointly with the Dietrich College), master's degrees in Business Administration ( MBA  (MSCF) with…",baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c19,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,"also offer graduate master's degrees in Emerging Media, Game Design, Integrative Innovation for Products and Services, Computational Data Science, Urban Design, and Production Technology and Management. IDeATe also mana…",baseline:925d31196c9104f8c8d29eb97c9bd03c7aedfc2e:c2,Carnegie Mellon College of Fine Arts - Wikipedia,en.wikipedia.org,,"and elective course work, students are involved with other disciplines within CFA and within the other colleges of the University. Further, the college’s location in the Oakland District of Pittsburgh  , The  , The  , t…"
135,entity_location,Which Pittsburgh museum is dedicated to contemporary art?,The Mattress Factory,Contemporary art museum The Mattress Factory,,,,www.visitpittsburgh.com:1b3a47095f224152ac4399c2957e24d29584576a:c0,"Visual Arts in Pittsburgh | Museums, Galleries & Public Art | Visit Pittsburgh",www.visitpittsburgh.com,https://www.visitpittsburgh.com/things-to-do/arts-culture/visual-arts/,"No matter your artistic style, Pittsburgh has a museum for you.  , or explore the history of work created in southwest Pennsylvania and across the country at the newly expanded  includes early Italian Renaissance painti…",carnegiemuseums.org:1b90fcdadf9bee525d6c6436169f4f6ebd9a39b3:c16,,carnegiemuseums.org,https://carnegiemuseums.org/docs/Embargoed_Draft_Nov_11_CI59_Commissions_Partners_Press_Release87.pdf,"Black life in America. Driven by curiosity, Carnegie Museum of Art creates space for expansive inquiry into the art and ideas that shape our time. To learn more, visit carnegieart.org.  Kamin Science Center is dedicated…",en.wikipedia.org:0020479ee05bd519a8ca95ea9f11a0de662b44cc:c14,Pittsburgh Police - Wikipedia,en.wikipedia.org,https://en.wikipedia.org/wiki/Pittsburgh_Bureau_of_Police,"for generations also been associated with ""black and gold"". However, the very first team in the city's history to associate with its official seal/flag colors were the original NHL franchise  . The police department of…"
77,entity_location,Which Pittsburgh restaurant is famous for its pierogies?,Primanti's,Stuff'd Pierogi Bar,,,,pittsburghrestaurantweek.com:84b272995777df9e55a4cba857d51a67e5b8d919:c0,Summer 2020 Restaurants – Pittsburgh Restaurant Week,pittsburghrestaurantweek.com,https://pittsburghrestaurantweek.com/restaurants/summer-2020-restaurants/,"Extended to 14 Days • Takeout Available • Some Reservation Only Participating restaurants are committed to operating within all local, state and federal health and safety guidelines which include necessary occupancy res…",pittsburghrestaurantweek.com:03e8f453a6838a8ff7876c5cecccab895fba3bc9:c1,Winter 2026 Restaurants – Pittsburgh Restaurant Week,pittsburghrestaurantweek.com,https://pittsburghrestaurantweek.com/restaurants/winter-2026-restaurants/?filter=Neighborhood&fvalue=East,"If you are able, consider gratuities that take into account the original pricing and extra effort to perfect a multi-course service. | | | | | $45.26 Dinner Ends 1/31  Six Pittsburgh Area Locations (Downtown, Oakland, M…",www.heinzhistorycenter.org:2f08c306dc3151f29a006ab32a61147488d37b84:c1,Weddings - Heinz History Center,www.heinzhistorycenter.org,https://www.heinzhistorycenter.org/about/event-rentals/weddings/,"is truly historic. If desired, we can even assist in organizing your linens, flowers, music, and officiant. For weddings over 75 guests, space rentals range between $5,000-$11,000 pending space selections.  Wedding coor…"
11,entity_location,What is the name of Carnegie Mellon's business school?,Tepper School of Business,Tepper School of Business,,,,baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c16,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,"other units across the university. [ 51 ] The College of Fine Arts runs master's programs in Arts Management and Entertainment Industry Management with the Heinz College, as well as  (BHA),  (BSA), the  (BESA). [ 52 ] T…",baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c31,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,"being a part of the . Carnegie Mellon also established the Integrative Media Program at in , New York. Carnegie Mellon also maintains the Carnegie Mellon Los Angeles Center in  where students in the Master of Entertainm…",baseline:eb489e0b85bab6d6c5715903ad19ff4c1147672f:c4,Carnegie School - Wikipedia,en.wikipedia.org,,"attended GSIA as Ph.D. students. , while heavily favored to receive the Prize for his pioneering work on rational expectations, was not included in 1995 or any other year thereafter.  and  .  &  ). The interdisciplinary…"
76,entity_location,What type of food does The Eagle in Pittsburgh serve?,"Based on my knowledge, The Eagle in Pittsburgh serves American cuisine.",The Eagle in Pittsburgh serves comfort food.,,,,www.visitpittsburgh.com:e8c6570895c39f0282a6ed6dc0539a767882ff16:c2,Pittsburgh Food Festivals - Greek - Oktoberfest - Apples - Maple Syrup | Visit Pittsburgh,www.visitpittsburgh.com,https://www.visitpittsburgh.com/events-festivals/food-festivals/,"NPOs. Seating is available inside once you grab your food truck grub! Select dates throughout Pittsburgh May-Sept. Our provides a complete listing of the many Greek festival dates and locations.  Top chefs, food trucks…",pittsburghrestaurantweek.com:2a0971f18d765769cf718d8274931a50843d9f2f:c0,Del Frisco’s Double Eagle Steakhouse – Pittsburgh Restaurant Week,pittsburghrestaurantweek.com,https://pittsburghrestaurantweek.com/restaurants/summer-2025-restaurants/del-friscos/,"Map ) PHONE (412) 240-6140  $55.25 DINNER  Crisp Romaine Leaves, Shaved Parmesan, Croutons, Caesar Dressing  Iceberg, Cherry Tomatoes, Crisp Bacon, Danish Blue Cheese Dressing ENTRÉES  Green Tahini, Olives, Oven-Dried G…",www.visitpittsburgh.com:699acb1509e03c40ac84346fbfa9e7a34bf02518:c0,"Pittsburgh Restaurants | Listings, Nightlife & Farmers Markets | Visit Pittsburgh",www.visitpittsburgh.com,https://www.visitpittsburgh.com/restaurants-culinary/,"Pittsburgh's fantastic food scene is continually getting recognized in national and international media . In our City of Multitudes, you'll find globe-spanning cuisine with inspired menus, unique locations and awarded c…"
150,entity_location,What is the economic significance of Pittsburgh today?,"Pittsburgh is a major economic hub known for robotics, technology, healthcare, and finance.","Pittsburgh's economy is diverse, driven by healthcare, education, technology, and manufacturing, with a focus on innovation and sustainability.",,,,www.visitpittsburgh.com:77145bd4700d33965df43564fb9f84fa71ac6443:c0,"The History of Pittsburgh, Pennsylvania | Visit Pittsburgh | Visit Pittsburgh",www.visitpittsburgh.com,https://www.visitpittsburgh.com/things-to-do/arts-culture/history/,"Pittsburgh was called the ""Gateway to the West"" from its earliest days as a frontier village.  Easily navigable waterways with an abundance of natural resources, (coal, timber, natural gas, iron and limestone) helped Pi…",en.wikipedia.org:d253cc18558364e41a8ba2e164a223480b12a27b:c35,Pittsburgh - Wikipedia,en.wikipedia.org,https://en.wikipedia.org/wiki/Pittsburgh,"Nabisco . [ 140 ] Some of the factory's original equipment, such as a large dough mixer, were left standing in homage to the site's industrial roots. [ 141 ]  has earned it praise as ""the poster child for managing indus…",en.wikipedia.org:d253cc18558364e41a8ba2e164a223480b12a27b:c11,Pittsburgh - Wikipedia,en.wikipedia.org,https://en.wikipedia.org/wiki/Pittsburgh,"This resulted in the highest levels of air pollution in the city's almost century of industry. The city's reputation as the ""arsenal of democracy"" [ 50 ] [ 51 ]  's 1868 observation of Pittsburgh being ""hell with the li…"
14,entity_location,What is the official mascot of Carnegie Mellon University?,Scotty the Spirit Bear,Bobby Bobcat,,,,baseline:b756f3f2e148023d34d947233ebfbde10b00c18c:c17,Carnegie Mellon University traditions - Wikipedia,en.wikipedia.org,,"as the Director For Life without the Possibility for Parole, started a new tradition within the band. Drawing inspiration from the critically acclaimed 1975 film, Monty Python and the Holy  as the Director For Life with…",pittsburghopera.org:9ac7c2169d555e080ded76012ffba7f1717d4d10:c1,"Pittsburgh Opera and Carnegie Mellon University present “Co-Opera"" April 13 & 14 | Pittsburgh Opera",pittsburghopera.org,https://pittsburghopera.org/current-media-releases/pittsburgh-opera-and-carnegie-mellon-university-present-co-opera-april-13-14/,"Therese Carmack an Operalia winner Pittsburgh Opera and National Opera House announce programmatic and strategic partnership March 12, 2019 Mobile: 412.427.7088 Emily Rybinski-Benish, Director of Marketing and Communica…",baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c19,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,"also offer graduate master's degrees in Emerging Media, Game Design, Integrative Innovation for Products and Services, Computational Data Science, Urban Design, and Production Technology and Management. IDeATe also mana…"
129,entity_location,Which Pittsburgh neighborhood is known for its cultural diversity?,Squirrel Hill,Oakland,,,,www.pittsburghpa.gov:f1930a01b2c67e3cfd4f0de840a4b63ae25a8b5e:c118,,www.pittsburghpa.gov,https://www.pittsburghpa.gov/files/assets/city/v/1/dcp/documents/5008_pittsburgh_cultural_heritage_plan.pdf,"stabilization, new infill construction, and the reuse buildings;however, distressed properties affect the historicappearance ofvacantlotsoffersopportunityfortheMiddleHill.TheNewGranada andintegrityofmanyblocks.Evenso,ar…",en.wikipedia.org:40090c5a25be80a13e4391015d56448b023bf29f:c16,Pittsburgh synagogue shooting - Wikipedia,en.wikipedia.org,https://en.wikipedia.org/wiki/Pittsburgh_synagogue_shooting,"[ 35 ] [ 63 ] Joyce Fienberg, 75, a retired University of Pittsburgh research specialist Rose Mallinger, 97, an active congregant at the synagogue for more than 60 years  Cecil, 59 & David Rosenthal, 54, brothers who li…",en.wikipedia.org:646be3f40e063e463752b4e3a9ee693237a0f9af:c8,Pittsburgh Playhouse - Wikipedia,en.wikipedia.org,https://en.wikipedia.org/wiki/Pittsburgh_Playhouse,"looking for a change in direction and strategy. [ ] After years of struggling for proper funding and the crisis of the two previous seasons, the Playhouse was acquired by  (then Point Park College) in 1968. [ 23 ] As pa…"
1,event_date,When was Carnegie Mellon University founded?,1900,1900,,,,www.cmu.edu:e4a1ffff0208673221f4be1dd4891abe851c8b89:c4,History | Carnegie Mellon University,www.cmu.edu,https://www.cmu.edu/about/history,"and Herbert Simon. 1967 - Present In 1967, Carnegie Tech merged with the Mellon Institute, a science research center founded by the Mellon family of Pittsburgh, to become known as  . This support from the Mellons allowe…",baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c2,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,"the Tartans. [ 17 ] , 64 , and 13 . [ 18 ] History [ ] , founder of the Carnegie Technical Schools. , co-founder of the Mellon Institute.  [ 19 ] by the  , who wrote ""My heart is in the work"", when he donated the funds…",baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c1,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,"its merger with the and . [ 11 ] , the , and the . [ 12 ] The university has its main campus located 5 miles (8 km) from  . It also has over a dozen degree-granting locations in six continents, including campuses in Qat…"
79,entity_location,Which Pittsburgh neighborhood is known for its array of vegan and vegetarian restaurants?,Shadyside,Squirrel Hill,,,,www.pittsburghpa.gov:f1930a01b2c67e3cfd4f0de840a4b63ae25a8b5e:c118,,www.pittsburghpa.gov,https://www.pittsburghpa.gov/files/assets/city/v/1/dcp/documents/5008_pittsburgh_cultural_heritage_plan.pdf,"stabilization, new infill construction, and the reuse buildings;however, distressed properties affect the historicappearance ofvacantlotsoffersopportunityfortheMiddleHill.TheNewGranada andintegrityofmanyblocks.Evenso,ar…",en.wikipedia.org:d253cc18558364e41a8ba2e164a223480b12a27b:c42,Pittsburgh - Wikipedia,en.wikipedia.org,https://en.wikipedia.org/wiki/Pittsburgh,"Foundation Fellow, earned his MFA at the University of Pittsburgh and was a faculty member there. Other local poets include , and , Pennsylvania's first poet laureate. Contemporary writers like  ,  , and  and Brian Celi…",en.wikipedia.org:646be3f40e063e463752b4e3a9ee693237a0f9af:c8,Pittsburgh Playhouse - Wikipedia,en.wikipedia.org,https://en.wikipedia.org/wiki/Pittsburgh_Playhouse,"looking for a change in direction and strategy. [ ] After years of struggling for proper funding and the crisis of the two previous seasons, the Playhouse was acquired by  (then Point Park College) in 1968. [ 23 ] As pa…"
69,entity_location,Which Pittsburgh bakery is known for its burnt almond torte?,Demeter's Pastry Shop,Tartine Bakery,,,,www.heinzhistorycenter.org:2f08c306dc3151f29a006ab32a61147488d37b84:c1,Weddings - Heinz History Center,www.heinzhistorycenter.org,https://www.heinzhistorycenter.org/about/event-rentals/weddings/,"is truly historic. If desired, we can even assist in organizing your linens, flowers, music, and officiant. For weddings over 75 guests, space rentals range between $5,000-$11,000 pending space selections.  Wedding coor…",pittsburghrestaurantweek.com:03e8f453a6838a8ff7876c5cecccab895fba3bc9:c1,Winter 2026 Restaurants – Pittsburgh Restaurant Week,pittsburghrestaurantweek.com,https://pittsburghrestaurantweek.com/restaurants/winter-2026-restaurants/?filter=Neighborhood&fvalue=East,"If you are able, consider gratuities that take into account the original pricing and extra effort to perfect a multi-course service. | | | | | $45.26 Dinner Ends 1/31  Six Pittsburgh Area Locations (Downtown, Oakland, M…",www.pittsburghpa.gov:7149228be382d9a5ad9590c81c62eb1183c50924:c342,,www.pittsburghpa.gov,https://www.pittsburghpa.gov/files/assets/city/v/1/dcp/documents/planning-commission/2025-meetings/03-11-2025-meeting/planning-commission-minutes-2024.pdf,"Chamber of Commerce • Michael Griscom • Ralph Horgan, Carnegie Mellon University • Michael Griscom • Kendall Pelling • Maelene J. Myers Nominate Members for the Community Data Justice Collaborative  • Prince Matthews, S…"
93,entity_location,What is Wholey's known for in Pittsburgh's Strip District?,Wholey's is known for its pickles in Pittsburgh's Strip District.,Wholey's is known for its haunted attraction in Pittsburgh's Strip District.,,,,www.visitpittsburgh.com:7f7a26adeedfb2271a2bf44e77a6a6ab6150d03a:c0,Pittsburgh Strip District | Visit Pittsburgh | Visit Pittsburgh,www.visitpittsburgh.com,https://www.visitpittsburgh.com/neighborhoods/strip-district/,"​Don't be fooled by the name. The Strip, as it's called, is foodie heaven and as authentic as it is fun. Locals love it for its low, low prices and tremendous selections. The one-half square mile shopping district is ch…",pittsburghopera.org:aa095393da4ef48f185756a440b3fe3de545a292:c2,,pittsburghopera.org,https://pittsburghopera.org/uploads/Directions_to_2425_Liberty_Avenue_in_Strip_District__11.13.2018.pdf,and Railroad Streets. Current listed rates range from $3 (0-2 hours) to $6 (4-10 hours). Use the self-pay machines on the ground floor before returning to your vehicle. Rev 11/13/2018  Selected Nearby Restaurants and Bu…,littleitalydays.com:e88b7ce47b41890d528f1d6d197496b79f9b2521:c0,Bloomfield-Businesses | Little Italy Days,littleitalydays.com,http://littleitalydays.com/bloomfield-businesses/,"Bloomfield is filled with amazing local busineses, make sure you check them out during the festival and throughout the year!  For some 75 years, we have helped build healthier, stronger communities. Let us be your partn…"
43,entity_location,Which CMU tradition involves a race with uniquely designed vehicles?,"Carnegie Mellon University's Freshman Rush, which includes the Semi Truck Pull event.",Spring Carnival Sweepstakes,,,,www.cmu.edu:fe90b80125609e2276a06481416805091f405741:c0,Traditions | Carnegie Mellon University,www.cmu.edu,https://www.cmu.edu/about/traditions,"[link]  At Carnegie Mellon University (CMU), traditions are more than just events — they're a celebration of our bold and collaborative community. Some commemorate the Scottish heritage of our founder, Andrew Carnegie,…",baseline:b756f3f2e148023d34d947233ebfbde10b00c18c:c10,Carnegie Mellon University traditions - Wikipedia,en.wikipedia.org,,"3 wheeled buggies were developed in the early 80s led by [ 13 ] by from 1986–1989 continued the theme of wheel alignment. In 1988, Delta Upsilon [ 14 ]  [ 15 ] – a record that stood only briefly as SPIRIT surpassed that…",www.cmu.edu:fe90b80125609e2276a06481416805091f405741:c1,Traditions | Carnegie Mellon University,www.cmu.edu,https://www.cmu.edu/about/traditions,"the world. Help our current Fence retake that title. The oldest CMU tradition, this three-day event features student-built booths, racing robots, live entertainment and an array of delectable food options.  Explore our…"
10,entity_location,Which college at Carnegie Mellon is renowned for its computer science program?,School of Computer Science,School of Computer Science,,,,baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c31,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,"being a part of the . Carnegie Mellon also established the Integrative Media Program at in , New York. Carnegie Mellon also maintains the Carnegie Mellon Los Angeles Center in  where students in the Master of Entertainm…",baseline:c4fbaf4e3472053336d40d14daaf38c11a42be86:c16,List of Carnegie Mellon University people - Wikipedia,en.wikipedia.org,,"bioethicist (Professor), chairperson of a special U.S. congressional commission that studied how the and the operated; it made its recommendations for changes in March 2000 in its report to the  SVP  myosin  of  at  -wi…",baseline:bbf0830752f47ca124ea7f213aa12953eb99119c:c1,Carnegie Mellon College of Engineering - Wikipedia,en.wikipedia.org,,"began classes in unfinished buildings, still surrounded by new construction. The school initially offered two- and three-year programs to train the children of Pittsburgh's working class. After the merger between  , the…"
124,entity_location,What is the 'Renaissance' period in Pittsburgh's history?,The Renaissance period in Pittsburgh's history refers to a series of urban renewal projects initiated in the 1950s aimed at revitalizing the city's image and economy.,"The ""Renaissance"" period in Pittsburgh's history refers to the city's clean air and civic revitalization project launched after World War II.",,,,en.wikipedia.org:d8681b3d89fa200a86cd514489251c476ef21429:c31,History of Pittsburgh - Wikipedia,en.wikipedia.org,https://en.wikipedia.org/wiki/History_of_Pittsburgh,"53 ] [ 55 ] The last distillery in Pittsburgh, Joseph S. Finch's distillery, located at South Second and McKean streets, closed in the 1920s. [ 56 ] In 2012,  opened, becoming the first since the closure of Finch's dist…",en.wikipedia.org:d253cc18558364e41a8ba2e164a223480b12a27b:c11,Pittsburgh - Wikipedia,en.wikipedia.org,https://en.wikipedia.org/wiki/Pittsburgh,"This resulted in the highest levels of air pollution in the city's almost century of industry. The city's reputation as the ""arsenal of democracy"" [ 50 ] [ 51 ]  's 1868 observation of Pittsburgh being ""hell with the li…",www.heinzhistorycenter.org:1b7d465a6542d9bb98dc45a8d144d206ea9a2283:c0,Pittsburgh’s LSTs: Remembering the “Workhorse” of Normandy - Heinz History Center,www.heinzhistorycenter.org,https://www.heinzhistorycenter.org/blog/pittsburghs-lsts-remembering-the-workhorse-of-normandy/,"We commemorate June 6, 1944, as “D-Day,” the start of the Normandy invasion and a crucial turning point during World War II. But at the time, nothing about that campaign was a foregone conclusion. For U.S. and Allied mi…"
